customer_id,gender,senior_citizen,tenure,contract,payment_method,monthly_charges,total_charges,internet_service,tech_support,online_security,paperless_billing,churn
CF-10107,Female,0,48,One year,Electronic check,58.92,2462.4,DSL,Yes,Yes,No,0
CF-10108,Female,0,34,Month-to-month,Credit card,92.13,3359.5,Fiber optic,Yes,No,No,0
CF-10109,Female,1,51,Two year,Credit card,48.13,2278.97,DSL,No,No,Yes,0
CF-10110,Female,0,20,Month-to-month,Bank transfer,37.89,757.94,No,Yes,Yes,Yes,1
CF-10111,Male,0,56,Two year,Bank transfer,48.93,2478.92,DSL,Yes,No,Yes,0
CF-10112,Female,0,40,One year,Bank transfer,37.97,1560.18,No,Yes,No,Yes,0
CF-10113,Male,0,33,Month-to-month,Bank transfer,56.14,1746.79,DSL,No,No,No,0
CF-10114,Female,0,36,Month-to-month,Credit card,36.1,1198.03,No,Yes,Yes,No,0
CF-10115,Male,1,41,One year,Credit card,24.21,994.26,No,No,No,Yes,0
CF-10116,Female,0,2,One year,Mailed check,60.42,114.55,DSL,Yes,No,Yes,0
CF-10117,Male,0,10,Month-to-month,Bank transfer,45.95,439.08,DSL,Yes,Yes,No,1
CF-10118,Female,0,17,One year,Credit card,24.79,421.56,No,No,No,Yes,1
CF-10119,Male,0,8,Two year,Electronic check,56.7,470.84,DSL,Yes,Yes,Yes,0
CF-10120,Male,0,32,Month-to-month,Mailed check,42.03,1265.47,DSL,Yes,No,No,0
CF-10121,Female,0,48,Month-to-month,Bank transfer,58.27,2602.65,DSL,Yes,Yes,Yes,0
CF-10122,Female,0,47,Month-to-month,Bank transfer,18.0,838.73,No,No,No,Yes,0
CF-10123,Female,0,34,One year,Mailed check,81.15,2820.78,Fiber optic,Yes,Yes,Yes,1
CF-10124,Male,0,62,Month-to-month,Electronic check,54.36,3632.41,DSL,Yes,Yes,Yes,0
CF-10125,Male,0,41,Two year,Electronic check,47.42,1799.8,DSL,Yes,No,No,0
CF-10126,Female,0,5,Month-to-month,Mailed check,30.74,149.23,No,Yes,No,No,0
CF-10127,Male,0,55,One year,Credit card,85.6,4993.06,Fiber optic,Yes,No,No,1
CF-10128,Male,0,41,Month-to-month,Credit card,39.62,1800.48,DSL,No,No,No,0
CF-10129,Female,0,46,Month-to-month,Mailed check,59.11,2529.85,DSL,Yes,Yes,Yes,1
CF-10130,Female,0,41,One year,Electronic check,23.12,896.42,No,Yes,No,Yes,0
CF-10131,Female,0,40,Month-to-month,Bank transfer,43.59,1766.03,No,No,Yes,No,0
CF-10132,Male,1,6,Month-to-month,Bank transfer,46.01,263.73,DSL,No,Yes,Yes,1
CF-10133,Male,0,40,Two year,Mailed check,43.46,1641.83,DSL,Yes,No,No,0
CF-10134,Female,0,58,Two year,Mailed check,76.14,4436.74,Fiber optic,Yes,No,Yes,0
CF-10135,Male,0,22,Two year,Electronic check,40.33,960.87,No,Yes,Yes,Yes,0
CF-10136,Male,0,44,Month-to-month,Bank transfer,74.32,2980.45,Fiber optic,No,Yes,No,1
CF-10137,Male,0,2,One year,Bank transfer,41.73,90.13,DSL,Yes,No,No,0
CF-10138,Female,0,25,Two year,Mailed check,61.68,1473.4,DSL,Yes,Yes,No,0
CF-10139,Male,0,31,Month-to-month,Credit card,43.26,1355.47,DSL,No,Yes,No,0
CF-10140,Male,0,71,Month-to-month,Bank transfer,90.88,7003.85,Fiber optic,Yes,Yes,Yes,0
CF-10141,Female,0,15,Two year,Credit card,93.42,1414.64,Fiber optic,Yes,Yes,No,0
CF-10142,Female,0,20,Month-to-month,Mailed check,32.47,631.31,No,Yes,Yes,No,1
CF-10143,Male,1,29,One year,Mailed check,68.56,2054.03,DSL,No,No,Yes,1
CF-10144,Male,0,72,Two year,Credit card,62.48,4406.83,Fiber optic,No,Yes,No,0
CF-10145,Male,0,62,One year,Credit card,39.64,2509.98,DSL,No,No,Yes,0
CF-10146,Male,0,2,Month-to-month,Credit card,75.7,148.03,Fiber optic,No,No,Yes,1
CF-10147,Male,0,17,Month-to-month,Credit card,50.35,891.62,No,Yes,No,No,1
CF-10148,Female,0,59,Month-to-month,Mailed check,94.18,5036.22,Fiber optic,No,No,Yes,0
CF-10149,Male,0,4,Month-to-month,Electronic check,89.6,333.02,Fiber optic,No,No,No,1
CF-10150,Female,1,62,Two year,Mailed check,70.85,3977.43,Fiber optic,No,No,Yes,0
CF-10151,Male,0,20,Two year,Credit card,40.9,807.05,DSL,No,No,No,0
CF-10152,Male,0,66,Month-to-month,Mailed check,46.54,2759.03,DSL,Yes,No,Yes,1
CF-10153,Female,1,21,Month-to-month,Bank transfer,46.95,935.16,DSL,Yes,No,Yes,1
CF-10154,Male,0,31,Two year,Credit card,67.43,1930.52,DSL,Yes,No,No,0
CF-10155,Male,1,48,Month-to-month,Credit card,82.81,4288.02,Fiber optic,Yes,Yes,No,0
CF-10156,Female,1,9,Month-to-month,Credit card,77.0,644.88,Fiber optic,No,No,Yes,1
CF-10157,Male,0,40,Month-to-month,Mailed check,91.97,3358.04,Fiber optic,Yes,No,Yes,1
CF-10158,Male,0,36,One year,Mailed check,18.0,651.18,No,Yes,Yes,Yes,0
CF-10159,Female,0,57,Month-to-month,Credit card,78.47,4880.75,Fiber optic,No,No,No,1
CF-10160,Male,0,72,One year,Electronic check,18.0,1274.01,No,No,Yes,No,0
CF-10161,Male,0,48,Month-to-month,Electronic check,75.35,3572.23,Fiber optic,No,Yes,No,1
CF-10162,Male,0,29,One year,Credit card,79.72,2467.81,Fiber optic,Yes,No,No,0
CF-10163,Female,0,29,Month-to-month,Bank transfer,72.26,2185.01,Fiber optic,No,Yes,Yes,0
CF-10164,Male,0,30,Month-to-month,Mailed check,80.03,2438.17,Fiber optic,No,Yes,No,0
CF-10165,Male,0,59,Month-to-month,Electronic check,48.99,2760.51,DSL,No,Yes,No,1
CF-10166,Male,0,23,Month-to-month,Mailed check,45.02,1053.43,DSL,No,No,No,1
CF-10167,Female,0,12,Month-to-month,Credit card,81.34,886.63,Fiber optic,No,No,No,0
CF-10168,Female,0,24,Month-to-month,Bank transfer,46.18,1055.76,DSL,Yes,No,Yes,0
CF-10169,Female,0,1,Month-to-month,Mailed check,53.13,57.16,DSL,No,No,No,1
CF-10170,Male,0,7,Month-to-month,Mailed check,21.14,158.06,No,No,No,No,1
CF-10171,Female,0,6,Two year,Credit card,25.65,156.4,No,Yes,No,No,0
CF-10172,Female,0,56,Month-to-month,Credit card,46.85,2293.65,DSL,Yes,No,Yes,0
CF-10173,Male,0,52,Two year,Mailed check,51.83,2472.83,DSL,Yes,Yes,Yes,0
CF-10174,Female,0,50,Two year,Bank transfer,70.84,3362.18,DSL,Yes,No,No,0
CF-10175,Female,0,33,Month-to-month,Electronic check,46.43,1501.08,DSL,No,No,No,0
CF-10176,Male,0,52,One year,Mailed check,36.7,1746.14,DSL,No,Yes,Yes,0
CF-10177,Male,0,11,Two year,Electronic check,93.27,1000.55,Fiber optic,Yes,Yes,Yes,0
CF-10178,Female,1,65,One year,Mailed check,49.75,3544.31,DSL,Yes,No,No,0
CF-10179,Male,0,36,Month-to-month,Bank transfer,25.55,932.72,No,No,Yes,No,1
CF-10180,Male,0,68,Month-to-month,Electronic check,79.55,5426.33,Fiber optic,Yes,No,Yes,0
CF-10181,Female,1,11,Month-to-month,Electronic check,34.53,352.84,No,No,Yes,Yes,1
CF-10182,Female,0,36,Month-to-month,Electronic check,18.0,577.8,No,No,No,Yes,0
CF-10183,Female,0,50,Two year,Electronic check,90.58,4149.96,Fiber optic,No,Yes,Yes,0
CF-10184,Male,0,36,Two year,Bank transfer,44.56,1426.48,DSL,Yes,No,Yes,0
CF-10185,Female,0,32,Month-to-month,Electronic check,20.36,647.94,No,No,Yes,Yes,0
CF-10186,Male,0,12,One year,Electronic check,35.6,432.77,No,No,Yes,No,0
CF-10187,Male,0,27,Month-to-month,Credit card,86.51,2177.13,Fiber optic,Yes,Yes,Yes,0
CF-10188,Female,0,17,Two year,Electronic check,98.44,1671.6,Fiber optic,No,No,Yes,0
CF-10189,Male,0,22,Month-to-month,Credit card,44.58,1057.4,DSL,No,No,No,1
CF-10190,Female,0,49,Two year,Bank transfer,80.31,4358.07,Fiber optic,No,No,Yes,0
CF-10191,Female,0,46,Two year,Bank transfer,102.15,4869.12,Fiber optic,Yes,Yes,No,0
CF-10192,Female,0,44,Month-to-month,Mailed check,71.37,3075.93,Fiber optic,Yes,No,Yes,0
CF-10193,Female,0,26,Month-to-month,Electronic check,63.26,1701.15,Fiber optic,No,No,No,1
CF-10194,Male,1,70,Two year,Credit card,46.84,3511.95,DSL,Yes,Yes,No,0
CF-10195,Male,0,6,Month-to-month,Credit card,61.32,319.93,DSL,Yes,No,Yes,1
CF-10196,Male,0,25,Month-to-month,Mailed check,32.51,876.9,DSL,No,No,No,1
CF-10197,Female,0,8,Two year,Bank transfer,59.37,454.69,DSL,Yes,No,No,0
CF-10198,Male,0,24,One year,Mailed check,82.74,1902.16,Fiber optic,No,Yes,Yes,0
CF-10199,Female,0,70,Month-to-month,Credit card,96.13,6518.51,Fiber optic,No,Yes,No,0
CF-10200,Male,0,26,Month-to-month,Credit card,87.41,2293.58,Fiber optic,No,No,Yes,1
CF-10201,Female,0,66,Month-to-month,Electronic check,81.28,4953.16,Fiber optic,No,Yes,Yes,0
CF-10202,Female,0,36,Two year,Credit card,90.23,3160.29,Fiber optic,No,Yes,No,0
CF-10203,Male,0,51,Month-to-month,Credit card,89.85,4680.95,Fiber optic,Yes,No,Yes,0
CF-10204,Male,0,33,Month-to-month,Bank transfer,80.86,2676.69,Fiber optic,Yes,No,Yes,0
CF-10205,Female,0,19,Month-to-month,Electronic check,67.7,1302.83,Fiber optic,No,Yes,Yes,0
CF-10206,Female,0,55,Two year,Credit card,48.88,2609.26,DSL,Yes,Yes,No,0
CF-10207,Male,0,70,Month-to-month,Bank transfer,53.64,3873.54,DSL,Yes,No,Yes,0
CF-10208,Female,0,19,Two year,Electronic check,31.58,632.05,No,Yes,Yes,Yes,0
CF-10209,Female,0,56,One year,Credit card,27.78,1633.13,DSL,No,Yes,No,0
CF-10210,Female,0,19,Two year,Mailed check,52.02,1003.85,DSL,Yes,Yes,No,0
CF-10211,Female,0,52,Two year,Credit card,78.26,4258.08,Fiber optic,No,No,Yes,1
CF-10212,Female,0,57,Two year,Bank transfer,58.93,3500.97,DSL,Yes,No,No,0
CF-10213,Male,0,32,Two year,Electronic check,92.64,3410.9,Fiber optic,No,Yes,Yes,0
CF-10214,Female,0,53,Month-to-month,Credit card,86.67,4883.29,Fiber optic,Yes,Yes,No,0
CF-10215,Female,0,19,Two year,Bank transfer,76.81,1437.03,Fiber optic,Yes,No,No,0
CF-10216,Male,0,5,Month-to-month,Mailed check,61.64,288.26,Fiber optic,No,No,Yes,1
CF-10217,Female,0,7,Month-to-month,Mailed check,84.18,574.13,Fiber optic,No,No,No,1
CF-10218,Male,0,32,Two year,Electronic check,46.18,1433.56,DSL,Yes,Yes,Yes,0
CF-10219,Female,0,65,Two year,Bank transfer,30.8,2043.41,No,No,No,Yes,0
CF-10220,Male,0,9,One year,Mailed check,59.58,508.33,DSL,No,No,Yes,0
CF-10221,Male,0,33,Month-to-month,Credit card,40.1,1404.72,DSL,Yes,No,Yes,0
CF-10222,Male,0,51,Month-to-month,Credit card,51.99,2403.91,DSL,No,Yes,No,0
CF-10223,Male,0,14,Month-to-month,Bank transfer,96.63,1206.78,Fiber optic,Yes,No,Yes,0
CF-10224,Male,0,52,Month-to-month,Electronic check,56.17,2867.95,DSL,No,Yes,No,1
CF-10225,Male,0,22,Month-to-month,Bank transfer,35.13,726.06,DSL,Yes,Yes,Yes,1
CF-10226,Male,0,59,Month-to-month,Electronic check,70.32,3794.18,Fiber optic,No,Yes,No,1
CF-10227,Female,1,42,Month-to-month,Credit card,73.48,2937.33,Fiber optic,Yes,No,No,0
CF-10228,Female,0,39,One year,Mailed check,27.71,1020.51,No,No,Yes,Yes,0
CF-10229,Female,0,12,Month-to-month,Credit card,50.72,602.92,DSL,No,No,Yes,1
CF-10230,Male,0,33,Two year,Mailed check,22.72,714.35,DSL,No,No,No,0
CF-10231,Female,0,62,One year,Electronic check,44.29,2629.69,DSL,No,No,Yes,0
CF-10232,Female,0,1,Month-to-month,Credit card,85.21,84.33,Fiber optic,No,Yes,Yes,1
CF-10233,Female,1,55,Month-to-month,Mailed check,55.33,3197.91,DSL,Yes,No,No,1
CF-10234,Male,0,35,Month-to-month,Credit card,86.32,3257.59,Fiber optic,Yes,Yes,No,1
CF-10235,Female,0,52,Two year,Credit card,81.72,4244.62,Fiber optic,Yes,No,No,0
CF-10236,Female,0,48,Month-to-month,Mailed check,44.47,2142.1,DSL,Yes,Yes,No,1
CF-10237,Male,0,31,Month-to-month,Mailed check,77.85,2362.69,Fiber optic,No,Yes,Yes,0
CF-10238,Male,0,22,Two year,Mailed check,47.47,1064.05,DSL,No,No,No,0
CF-10239,Male,1,45,Two year,Credit card,83.54,3809.72,Fiber optic,No,Yes,Yes,0
CF-10240,Male,1,10,Month-to-month,Credit card,53.27,569.75,DSL,No,Yes,No,0
CF-10241,Male,0,42,Month-to-month,Electronic check,54.77,2016.66,DSL,Yes,No,No,1
CF-10242,Male,0,6,Month-to-month,Bank transfer,63.85,373.88,DSL,Yes,Yes,Yes,1
CF-10243,Male,0,47,Month-to-month,Electronic check,43.63,2071.84,DSL,No,Yes,No,0
CF-10244,Male,0,45,Month-to-month,Bank transfer,18.0,800.62,No,Yes,Yes,Yes,0
CF-10245,Male,0,6,One year,Credit card,58.29,326.53,DSL,Yes,Yes,No,1
CF-10246,Female,0,55,Two year,Credit card,48.14,2414.8,DSL,No,No,Yes,0
CF-10247,Female,1,30,Month-to-month,Mailed check,51.47,1603.36,DSL,No,Yes,Yes,0
CF-10248,Female,0,57,One year,Mailed check,66.62,3586.91,Fiber optic,No,No,Yes,0
CF-10249,Male,0,3,Month-to-month,Electronic check,101.12,268.38,Fiber optic,Yes,No,No,1
CF-10250,Male,1,13,Two year,Electronic check,84.39,1142.48,Fiber optic,No,Yes,Yes,0
CF-10251,Female,0,36,One year,Mailed check,82.41,3018.79,Fiber optic,Yes,No,No,0
CF-10252,Male,0,13,Two year,Credit card,76.58,978.66,Fiber optic,Yes,No,Yes,0
CF-10253,Male,0,24,Two year,Mailed check,94.69,2125.13,Fiber optic,Yes,Yes,No,0
CF-10254,Male,1,48,Month-to-month,Electronic check,37.08,1749.93,DSL,No,Yes,No,0
CF-10255,Female,0,10,Month-to-month,Bank transfer,98.35,1045.4,Fiber optic,No,Yes,Yes,1
CF-10256,Male,1,49,Month-to-month,Electronic check,41.48,1815.28,DSL,No,Yes,Yes,1
CF-10257,Male,0,7,Month-to-month,Electronic check,100.48,630.32,Fiber optic,Yes,No,No,0
CF-10258,Female,0,12,Two year,Credit card,45.34,518.15,DSL,No,No,Yes,0
CF-10259,Male,1,42,Month-to-month,Electronic check,99.23,4119.32,Fiber optic,Yes,Yes,Yes,0
CF-10260,Female,0,57,One year,Mailed check,40.39,2210.65,DSL,No,Yes,Yes,0
CF-10261,Female,0,12,Month-to-month,Bank transfer,85.17,1051.24,Fiber optic,Yes,Yes,Yes,1
CF-10262,Female,0,21,Month-to-month,Electronic check,61.24,1357.2,DSL,Yes,No,No,0
CF-10263,Female,0,67,Month-to-month,Electronic check,83.96,5663.16,Fiber optic,No,No,No,0
CF-10264,Female,0,72,One year,Electronic check,32.91,2425.5,No,No,Yes,No,0
CF-10265,Male,0,42,One year,Mailed check,73.61,3111.18,Fiber optic,No,No,Yes,0
CF-10266,Male,0,32,Month-to-month,Credit card,54.76,1735.8,DSL,Yes,No,No,0
CF-10267,Female,0,25,Month-to-month,Mailed check,89.24,2035.53,Fiber optic,No,No,No,0
CF-10268,Female,0,44,One year,Mailed check,47.65,1946.32,DSL,Yes,No,No,0
CF-10269,Female,0,43,Month-to-month,Mailed check,59.15,2311.86,DSL,Yes,No,Yes,0
CF-10270,Male,0,21,Two year,Credit card,76.03,1566.44,Fiber optic,No,Yes,Yes,0
CF-10271,Female,0,1,Month-to-month,Electronic check,86.85,87.19,Fiber optic,Yes,Yes,No,1
CF-10272,Female,0,11,Month-to-month,Credit card,78.76,782.36,Fiber optic,No,No,No,1
CF-10273,Female,1,69,Month-to-month,Electronic check,77.91,5345.45,Fiber optic,Yes,Yes,Yes,1
CF-10274,Male,0,30,Month-to-month,Credit card,27.65,777.65,No,Yes,Yes,Yes,0
CF-10275,Male,0,35,Month-to-month,Electronic check,79.3,2569.69,Fiber optic,No,No,Yes,1
CF-10276,Female,0,34,Month-to-month,Electronic check,84.08,2722.87,Fiber optic,Yes,No,No,0
CF-10277,Male,0,57,Two year,Mailed check,37.15,1954.01,No,No,No,No,0
CF-10278,Male,0,4,Month-to-month,Electronic check,87.09,357.56,Fiber optic,No,No,No,1
CF-10279,Male,0,6,Month-to-month,Bank transfer,87.61,515.1,Fiber optic,Yes,No,No,1
CF-10280,Male,0,20,Month-to-month,Bank transfer,40.13,833.83,DSL,No,Yes,No,1
